Date_start,Power_kW,Hour,Power-1,Rolling3,temp_C,solarRad_W/m2,Convolution
2018-10-10 17:00:00,339.89745,17,371.2052409,361.6307150333336,18.888333333333332,199.9333333333333,19.993333333333332
2018-10-10 18:00:00,302.5770727,18,339.89745,337.89325453333356,18.93,96.00475,9.600475000000001
2018-10-10 19:00:00,216.2897,19,302.5770727,286.2547409000003,18.253333333333334,2.6639166666666667,0.2663916666666667
2018-10-10 20:00:00,162.6775349,20,216.2897,227.1814358666669,18.241666666666667,1.7625,0.17625000000000002
2018-10-10 21:00:00,138.2564615,21,162.6775349,172.40789880000025,17.903333333333332,1.61025,0.161025
2018-10-10 22:00:00,130.8140341,22,138.2564615,143.9160101666669,18.2175,1.7601666666666667,0.17601666666666668
2018-10-10 23:00:00,124.0867181,23,130.8140341,131.05240456666692,17.980833333333333,1.8018333333333334,0.18018333333333336
2018-10-11 00:00:00,120.3448872,0,124.0867181,125.08187980000025,18.325833333333332,1.691,1.691
2018-10-11 01:00:00,116.5299416,1,120.3448872,120.32051563333357,18.436666666666667,1.375,0.1375
2018-10-11 02:00:00,112.2327826,2,116.5299416,116.36920380000025,18.393333333333334,1.0473333333333332,0.10473333333333333
2018-10-11 03:00:00,111.4583013,3,112.2327826,113.40700850000025,18.153333333333332,1.6312499999999999,0.163125
2018-10-11 04:00:00,108.2733257,4,111.4583013,110.65480320000025,18.263333333333332,1.6587500000000002,0.16587500000000002
2018-10-11 05:00:00,125.8884323,5,108.2733257,115.20668643333357,18.055833333333336,0.939,0.0939
2018-10-11 06:00:00,142.7800279,6,125.8884323,125.6472619666669,17.3175,0.5353333333333333,0.053533333333333336
2018-10-11 07:00:00,211.4003692,7,142.7800279,160.02294313333357,17.4425,0.93425,0.09342500000000001
2018-10-11 08:00:00,290.7679987,8,211.4003692,214.98279860000025,16.058333333333334,34.75333333333333,3.4753333333333334
2018-10-11 09:00:00,332.9051648,9,290.7679987,278.35784423333354,16.69,237.70000000000002,23.770000000000003
2018-10-11 10:00:00,361.5029393,10,332.9051648,328.39203426666694,17.995833333333334,351.5333333333333,35.15333333333333
2018-10-11 11:00:00,374.8266139,11,361.5029393,356.41157266666687,18.900000000000002,429.575,42.9575
2018-10-11 12:00:00,380.0427655,12,374.8266139,372.1241062333336,19.8625,567.85,56.785000000000004
2018-10-11 13:00:00,371.7279251,13,380.0427655,375.5324348333336,19.849166666666665,683.4166666666666,58.09041666666666
2018-10-11 14:00:00,378.2126072,14,371.7279251,376.6610992666669,19.956666666666667,652.4583333333334,65.24583333333334
2018-10-11 15:00:00,364.8215449,15,378.2126072,371.5873590666668,20.076666666666664,560.9499999999999,47.680749999999996
2018-10-11 16:00:00,369.404863,16,364.8215449,370.8130050333336,19.696666666666665,389.075,38.9075
2018-10-11 17:00:00,330.7875111,17,369.404863,355.0046396666669,19.168333333333333,195.14166666666665,19.514166666666668
2018-10-11 18:00:00,279.9657313,18,330.7875111,326.71936846666694,18.3075,44.155,4.415500000000001
2018-10-11 19:00:00,218.9894078,19,279.9657313,276.58088340000023,18.125833333333333,6.421583333333333,0.6421583333333334
2018-10-11 20:00:00,184.5701378,20,218.9894078,227.8417589666669,17.974999999999998,5.979166666666667,0.5979166666666668
2018-10-11 21:00:00,156.9285814,21,184.5701378,186.82937566666692,17.663333333333334,3.963416666666667,0.3963416666666667
2018-10-11 22:00:00,127.7857874,22,156.9285814,156.4281688666669,17.3875,2.26775,0.226775
2018-10-11 23:00:00,122.1277023,23,127.7857874,135.61402370000022,16.9225,1.31975,0.131975
2018-10-12 00:00:00,119.1878423,0,122.1277023,123.03377733333356,16.795833333333334,1.5527499999999999,1.5527499999999999
