Date,Civil (kWh),temp_C,solarRad_W/m2,Power-1,Rolling3,DayOfWeek,Hour,CyclicHour,WorkDay,LunchTime,Holidays,Classes,Convolution
2019-03-26 11:00:00,322.341,16.6008333333333,812.25,314.555,310.27499999999986,1,11,0.9659258262890683,1.0,1.0,1.0,0.1,81.22500000000001
2019-03-26 12:00:00,333.591,17.4741666666666,843.833333333333,322.341,323.4956666666665,1,12,1.0,1.0,1.0,1.0,0.1,84.38333333333331
2019-03-26 13:00:00,323.333,19.3083333333333,823.333333333333,333.591,326.42166666666657,1,13,0.9659258262890684,1.0,0.85,1.0,0.1,69.9833333333333
2019-03-26 14:00:00,319.184,20.61,677.175,323.333,325.36933333333326,1,14,0.866025403784439,1.0,1.0,1.0,0.1,67.7175
2019-03-26 15:00:00,316.4,21.5658333333333,581.708333333333,319.184,319.63899999999984,1,15,0.7071067811865483,1.0,0.85,1.0,0.1,49.44520833333331
2019-03-26 16:00:00,315.27,21.7333333333333,334.45,316.4,316.9513333333332,1,16,0.5000000000000004,1.0,1.0,1.0,0.1,33.445
2019-03-26 17:00:00,288.535,21.7466666666666,156.575,315.27,306.7349999999999,1,17,0.2588190451025207,1.0,1.0,1.0,0.1,15.657499999999999
2019-03-26 18:00:00,243.052,21.2291666666666,33.6564166666666,288.535,282.2856666666665,1,18,2.4492935982947064e-16,1.0,1.0,1.0,0.1,3.36564166666666
2019-03-26 19:00:00,193.109,20.6741666666666,0.594916666666666,243.052,241.5653333333332,1,19,0.25881904510252024,1.0,1.0,1.0,0.1,0.0594916666666666
2019-03-26 20:00:00,161.553,20.3525,0.7635,193.109,199.23799999999986,1,20,0.5,1.0,1.0,1.0,0.1,0.07635
2019-03-26 21:00:00,145.23,20.235,0.79125,161.553,166.63066666666654,1,21,0.7071067811865474,1.0,1.0,1.0,0.1,0.079125
2019-03-26 22:00:00,134.882,19.1675,0.758916666666666,145.23,147.22166666666655,1,22,0.8660254037844384,1.0,1.0,1.0,0.1,0.07589166666666661
2019-03-26 23:00:00,123.933,17.5125,0.98025,134.882,134.68166666666653,1,23,0.9659258262890681,1.0,1.0,1.0,0.1,0.098025
2019-03-27 00:00:00,121.457,15.9158333333333,0.745083333333333,123.933,126.7573333333332,2,0,1.0,1.0,1.0,1.0,1.0,0.745083333333333
2019-03-27 01:00:00,102.672,14.2966666666666,2.303,121.457,116.02066666666654,2,1,0.9659258262890683,1.0,1.0,1.0,0.1,0.2303
2019-03-27 02:00:00,100.896,13.9308333333333,4.41941666666666,102.672,108.34166666666654,2,2,0.8660254037844387,1.0,1.0,1.0,0.1,0.441941666666666
2019-03-27 03:00:00,96.978,13.4425,4.10033333333333,100.896,100.18199999999986,2,3,0.7071067811865476,1.0,1.0,1.0,0.1,0.410033333333333
2019-03-27 04:00:00,97.387,12.8683333333333,4.75875,96.978,98.42033333333319,2,4,0.5000000000000003,1.0,1.0,1.0,0.1,0.47587500000000005
2019-03-27 05:00:00,109.277,12.7166666666666,5.87516666666666,97.387,101.21399999999987,2,5,0.2588190451025206,1.0,1.0,1.0,0.1,0.587516666666666
2019-03-27 06:00:00,124.419,12.65,12.9994166666666,109.277,110.36099999999986,2,6,1.2246467991473532e-16,1.0,1.0,1.0,0.1,1.2999416666666601
2019-03-27 07:00:00,204.272,12.8808333333333,146.547499999999,124.419,145.98933333333318,2,7,0.25881904510252035,1.0,1.0,1.0,0.1,14.6547499999999
2019-03-27 08:00:00,304.754,13.4766666666666,352.724999999999,204.272,211.1483333333332,2,8,0.4999999999999997,1.0,1.0,1.0,0.1,35.2724999999999
2019-03-27 09:00:00,301.667,14.1275,546.666666666666,304.754,270.2309999999998,2,9,0.7071067811865475,1.0,1.0,1.0,0.1,54.6666666666666
2019-03-27 10:00:00,331.378,16.0033333333333,701.391666666666,301.667,312.59966666666656,2,10,0.8660254037844388,1.0,1.0,1.0,0.1,70.1391666666666
2019-03-27 11:00:00,338.44,17.7125,808.666666666666,331.378,323.8283333333332,2,11,0.9659258262890683,1.0,1.0,1.0,0.1,80.8666666666666
2019-03-27 12:00:00,347.052,18.9908333333333,850.083333333333,338.44,338.95666666666654,2,12,1.0,1.0,1.0,1.0,0.1,85.00833333333331
2019-03-27 13:00:00,333.716,19.4558333333333,828.833333333333,347.052,339.7359999999999,2,13,0.9659258262890684,1.0,0.85,1.0,0.1,70.4508333333333
2019-03-27 14:00:00,324.337,20.5433333333333,750.916666666666,333.716,335.03499999999985,2,14,0.866025403784439,1.0,1.0,1.0,0.1,75.0916666666666
2019-03-27 15:00:00,307.896,21.22,622.558333333333,324.337,321.9829999999999,2,15,0.7071067811865483,1.0,0.85,1.0,0.1,52.917458333333315
2019-03-27 16:00:00,305.425,21.9841666666666,453.133333333333,307.896,312.55266666666654,2,16,0.5000000000000004,1.0,1.0,1.0,0.1,45.313333333333304
2019-03-27 17:00:00,268.631,21.5316666666666,246.333333333333,305.425,293.98399999999987,2,17,0.2588190451025207,1.0,1.0,1.0,0.1,24.6333333333333
2019-03-27 18:00:00,239.654,20.5683333333333,56.2713333333333,268.631,271.2366666666665,2,18,2.4492935982947064e-16,1.0,1.0,1.0,0.1,5.62713333333333
2019-03-27 19:00:00,197.506,19.6808333333333,0.717416666666666,239.654,235.26366666666652,2,19,0.25881904510252024,1.0,1.0,1.0,0.1,0.0717416666666666
2019-03-27 20:00:00,163.789,19.1116666666666,0.722,197.506,200.3163333333332,2,20,0.5,1.0,1.0,1.0,0.1,0.0722
2019-03-27 21:00:00,137.499,18.2575,0.793583333333333,163.789,166.26466666666653,2,21,0.7071067811865474,1.0,1.0,1.0,0.1,0.07935833333333331
2019-03-27 22:00:00,132.639,17.8025,0.798416666666666,137.499,144.6423333333332,2,22,0.8660254037844384,1.0,1.0,1.0,0.1,0.0798416666666666
2019-03-27 23:00:00,122.973,16.9783333333333,0.717499999999999,132.639,131.03699999999986,2,23,0.9659258262890681,1.0,1.0,1.0,0.1,0.07174999999999991
