Date_start,Hour,Power_kW,temp_C,solarRad_W/m2,Power-1,Rolling3,CyclicHour,DayOfWeek,WorkDay,LunchTime,Holidays,Classes,Convolution
2017-03-26 12:00:00,12,119.3405623,9.846666666666666,45.57916666666667,118.3688813,117.94699229999999,1.0,6,0.33,1.0,1.0,0.1,1.5041125000000004
2017-03-26 13:00:00,13,123.1795613,10.265,56.92083333333334,119.3405623,120.29633496666668,0.9659258262890684,6,0.33,0.85,1.0,0.1,1.5966293750000002
2017-03-26 14:00:00,14,126.791962,11.000833333333333,79.60083333333334,123.1795613,123.10402853333335,0.866025403784439,6,0.33,1.0,1.0,0.1,2.6268275000000005
2017-03-26 15:00:00,15,120.8406545,11.159166666666666,122.79166666666667,126.791962,123.60405926666665,0.7071067811865483,6,0.33,0.85,1.0,0.1,3.4443062500000003
2017-03-26 16:00:00,16,111.5665416,11.414166666666667,158.40083333333334,120.8406545,119.73305269999999,0.5000000000000004,6,0.33,1.0,1.0,0.1,5.2272275000000015
2017-03-26 17:00:00,17,112.3055155,10.8825,47.48583333333334,111.5665416,114.9042372,0.2588190451025207,6,0.33,1.0,1.0,0.1,1.5670325000000003
2017-03-26 18:00:00,18,114.3769714,9.51,29.74225,112.3055155,112.74967616666667,2.4492935982947064e-16,6,0.33,1.0,1.0,0.1,0.9814942500000001
2017-03-26 19:00:00,19,110.1296373,9.715833333333334,1.0294166666666666,114.3769714,112.27070806666666,0.25881904510252024,6,0.33,1.0,1.0,0.1,0.03397075
2017-03-26 20:00:00,20,106.5567529,9.605833333333333,0.34408333333333335,110.1296373,110.35445386666667,0.5,6,0.33,1.0,1.0,0.1,0.011354750000000002
2017-03-26 21:00:00,21,102.8267578,10.108333333333333,0.38316666666666666,106.5567529,106.50438266666667,0.7071067811865474,6,0.33,1.0,1.0,0.1,0.012644500000000001
2017-03-26 22:00:00,22,103.441074,10.640833333333333,0.47333333333333333,102.8267578,104.27486156666667,0.8660254037844384,6,0.33,1.0,1.0,0.1,0.015620000000000002
